"","predictor_Gaussian","estimate_Gaussian","t-value_Gaussian","predictor_T","estimate_T","t-value_T","predictor_ALD","estimate_ALD","t-value_ALD","predictor_Bimodal","estimate_Bimodal","t-value_Bimodal","predictor_Skew","estimate_Skew","t-value_Skew","predictor_Mixed","estimate_Mixed","t-value_Mixed"
"1","(Intercept)",1345,47.7,"(Intercept)",1222,48.2,"(Intercept)",1300,48.1,"(Intercept)",1237,59.2,"(Intercept)",1301,51.4,"(Intercept)",1339,44.3
"2","NN50",-280,-11.2,"NN50",-127,-5,"NN50",-275,-10.8,"NN50",-197,-9.6,"NN50",-185,-7.6,"NN50",-263,-9.8
"3","NN200",-377,-15.7,"NN200",-259,-11.8,"NN200",-397,-17.7,"NN200",-318,-17.2,"NN200",-335,-16,"NN200",-410,-16.5
"4","II0.5",-788,-32.6,"II0.5",-664,-29.1,"II0.5",-766,-32.6,"II0.5",-662,-34.5,"II0.5",-762,-34.4,"II0.5",-747,-29.3
"5","II0.9",-1204,-50.7,"II0.9",-1109,-50.2,"II0.9",-1188,-52.4,"II0.9",-1112,-60,"II0.9",-1183,-55.1,"II0.9",-1186,-47.5
"6","RR5",-256,-9.1,"RR5",-240,-10.7,"RR5",-201,-8.1,"RR5",-169,-7.8,"RR5",-245,-10.4,"RR5",-235,-8.3
"7","RR10",-382,-15.4,"RR10",-277,-10.4,"RR10",-258,-10.1,"RR10",-310,-15.8,"RR10",-329,-14.2,"RR10",-401,-15.9
"8","anlDP_diffuse",550,19.4,"anlDP_diffuse",571,22,"anlDP_diffuse",578,21.7,"anlDP_diffuse",593,26.3,"anlDP_diffuse",584,22.5,"anlDP_diffuse",565,19.4
"9","anlDP_Inform",35,1.4,"anlDP_Inform",59,2.5,"anlDP_Inform",57,2.3,"anlDP_Inform",76,3.8,"anlDP_Inform",51,2.3,"anlDP_Inform",41,1.5
"10","estCB",662,23.1,"estCB",645,25.1,"estCB",696,25.8,"estCB",641,28.5,"estCB",636,25.1,"estCB",671,22.8
"11","estGR",609,21.8,"estGR",597,22.9,"estGR",653,24.6,"estGR",594,27.5,"estGR",594,23.8,"estGR",627,22
"12","NN50:II0.5",234,10.9,"NN50:II0.5",99,4.8,"NN50:II0.5",252,11.8,"NN50:II0.5",175,9.5,"NN50:II0.5",189,9.6,"NN50:II0.5",197,9.3
"13","NN200:II0.5",281,13.7,"NN200:II0.5",154,8.4,"NN200:II0.5",341,17.9,"NN200:II0.5",220,13,"NN200:II0.5",264,15.3,"NN200:II0.5",280,14.3
"14","NN50:II0.9",236,11.2,"NN50:II0.9",120,6,"NN50:II0.9",280,13.6,"NN50:II0.9",192,10.7,"NN50:II0.9",192,10,"NN50:II0.9",219,10.6
"15","NN200:II0.9",279,13.9,"NN200:II0.9",184,10.4,"NN200:II0.9",361,19.6,"NN200:II0.9",258,15.6,"NN200:II0.9",282,16.8,"NN200:II0.9",317,16.6
"16","NN50:RR5",65,3.4,"NN50:RR5",18,1.1,"NN50:RR5",63,3.5,"NN50:RR5",36,2.2,"NN50:RR5",-21,-1.2,"NN50:RR5",43,2.2
"17","NN200:RR5",76,4.1,"NN200:RR5",45,3.1,"NN200:RR5",68,4.4,"NN200:RR5",64,4.3,"NN200:RR5",35,2.3,"NN200:RR5",80,4.5
"18","NN50:RR10",52,3,"NN50:RR10",-16,-0.9,"NN50:RR10",14,0.7,"NN50:RR10",27,1.9,"NN50:RR10",23,1.4,"NN50:RR10",139,7.9
"19","NN200:RR10",86,5.3,"NN200:RR10",33,2,"NN200:RR10",27,1.6,"NN200:RR10",75,5.7,"NN200:RR10",47,3.2,"NN200:RR10",144,8.9
"20","NN50:anlDP_diffuse",62,3.4,"NN50:anlDP_diffuse",44,2.5,"NN50:anlDP_diffuse",36,2,"NN50:anlDP_diffuse",36,2.3,"NN50:anlDP_diffuse",40,2.3,"NN50:anlDP_diffuse",42,2.3
"21","NN200:anlDP_diffuse",159,9.1,"NN200:anlDP_diffuse",141,9,"NN200:anlDP_diffuse",124,7.7,"NN200:anlDP_diffuse",114,8.1,"NN200:anlDP_diffuse",137,9.2,"NN200:anlDP_diffuse",138,8.2
"22","NN50:anlDP_Inform",-6,-0.4,"NN50:anlDP_Inform",-19,-1.2,"NN50:anlDP_Inform",-24,-1.4,"NN50:anlDP_Inform",-29,-2,"NN50:anlDP_Inform",-21,-1.4,"NN50:anlDP_Inform",-15,-0.9
